ciudades,tiempo_segundos,costo,ruta,estado,error
4,0.0240,2593,"Bogotá -> Barranquilla -> Medellín -> Cali -> Bogotá",OK,""
6,0.0271,2777,"Bogotá -> Bucaramanga -> Cartagena -> Barranquilla -> Medellín -> Cali -> Bogotá",OK,""
8,0.0238,2909,"Bogotá -> Manizales -> Pereira -> Cali -> Medellín -> Barranquilla -> Cartagena -> Bucaramanga -> Bogotá",OK,""
10,0.0314,3136,"Bogotá -> Manizales -> Pereira -> Cali -> Medellín -> Cartagena -> Barranquilla -> Santa Marta -> Cúcuta -> Bucaramanga -> Bogotá",OK,""
12,0.0390,3347,"Bogotá -> Villavicencio -> Ibagué -> Manizales -> Pereira -> Cali -> Medellín -> Cartagena -> Barranquilla -> Santa Marta -> Cúcuta -> Bucaramanga -> Bogotá",OK,""
14,0.1143,4448,"Bogotá -> Neiva -> Ibagué -> Pasto -> Cali -> Manizales -> Pereira -> Medellín -> Cartagena -> Barranquilla -> Santa Marta -> Cúcuta -> Bucaramanga -> Villavicencio -> Bogotá",OK,""
16,0.4841,4392,"Bogotá -> Neiva -> Ibagué -> Pasto -> Cali -> Armenia -> Manizales -> Pereira -> Medellín -> Montería -> Cartagena -> Barranquilla -> Santa Marta -> Cúcuta -> Bucaramanga -> Villavicencio -> Bogotá",OK,""
18,2.5421,4396,"Bogotá -> Tunja -> Bucaramanga -> Cúcuta -> Santa Marta -> Barranquilla -> Cartagena -> Montería -> Medellín -> Pereira -> Manizales -> Armenia -> Cali -> Popayán -> Pasto -> Neiva -> Ibagué -> Villavicencio -> Bogotá",OK,""
20,12.5155,4489,"Bogotá -> Tunja -> Bucaramanga -> Cúcuta -> Valledupar -> Santa Marta -> Barranquilla -> Cartagena -> Sincelejo -> Montería -> Medellín -> Pereira -> Manizales -> Armenia -> Cali -> Popayán -> Pasto -> Neiva -> Ibagué -> Villavicencio -> Bogotá",OK,""
22,61.5908,4769,"Bogotá -> Tunja -> Bucaramanga -> Arauca -> Cúcuta -> Valledupar -> Riohacha -> Santa Marta -> Barranquilla -> Cartagena -> Sincelejo -> Montería -> Medellín -> Pereira -> Manizales -> Armenia -> Cali -> Popayán -> Pasto -> Neiva -> Ibagué -> Villavicencio -> Bogotá",OK,""
24,288.1244,4497,"Bogotá -> Tunja -> Yopal -> Bucaramanga -> Arauca -> Cúcuta -> Valledupar -> Riohacha -> Santa Marta -> Barranquilla -> Cartagena -> Sincelejo -> Montería -> Medellín -> Pereira -> Manizales -> Armenia -> Cali -> Popayán -> Pasto -> Florencia -> Neiva -> Ibagué -> Villavicencio -> Bogotá",OK,""
26,0.0433,-,"-",ERROR,"No hay subset para N=26"
